geo,year,pisa_score
ALB,2000,368.77
ALB,2009,384.32
ALB,2012,395.22
ALB,2015,415.21
ALB,2018,419.79
ALB,2022,367.33
ARE,2022,426.67
ARG,2000,400.81
ARG,2006,382.07
ARG,2009,395.72
ARG,2012,396.68
ARG,2015,422.19
ARG,2018,395.01
ARG,2022,395.0
AUS,2000,529.59
AUS,2003,524.92
AUS,2006,519.89
AUS,2009,518.84
AUS,2012,512.48
AUS,2015,502.26
AUS,2018,498.99
AUS,2022,497.33
AUT,2000,504.73
AUT,2003,495.76
AUT,2006,502.17
AUT,2009,486.84
AUT,2012,500.31
AUT,2015,492.22
AUT,2018,491.04
AUT,2022,486.0
AZE,2006,403.74
AZE,2009,388.56
AZE,2022,380.67
BEL,2000,507.62
BEL,2003,515.03
BEL,2006,510.54
BEL,2009,509.26
BEL,2012,509.34
BEL,2015,502.5
BEL,2018,499.9
BEL,2022,486.33
BGR,2000,436.23
BGR,2006,416.49
BGR,2009,432.15
BGR,2012,440.44
BGR,2015,439.56
BGR,2018,426.65
BGR,2022,414.0
BIH,2018,402.62
BLR,2018,472.31
BRA,2000,368.4
BRA,2003,382.81
BRA,2006,384.24
BRA,2009,400.99
BRA,2012,402.1
BRA,2015,395.03
BRA,2018,400.02
BRA,2022,397.33
BRN,2018,423.06
BRN,2022,439.0
CAN,2000,532.22
CAN,2003,526.38
CAN,2006,529.5
CAN,2009,526.58
CAN,2012,522.22
CAN,2015,523.34
CAN,2018,516.7
CAN,2022,506.33
CHE,2022,498.0
CHL,2000,402.8
CHL,2006,430.54
CHL,2009,439.3
CHL,2012,436.32
CHL,2015,442.73
CHL,2018,437.75
CHL,2022,434.67
CHN,2009,576.84
CHN,2012,587.46
CHN,2015,514.34
CHN,2018,579.03
CHN,2022,535.0
COL,2006,381.11
COL,2009,398.59
COL,2012,392.86
COL,2015,410.09
COL,2018,405.52
COL,2022,401.0
CRI,2009,427.48
CRI,2012,425.63
CRI,2015,415.78
CRI,2018,414.82
CRI,2022,403.67
CYP,2012,443.31
CYP,2015,437.53
CYP,2018,438.02
CYP,2022,403.33
CZE,2000,500.33
CZE,2003,509.42
CZE,2006,501.81
CZE,2009,490.5
CZE,2012,500.05
CZE,2015,490.8
CZE,2018,495.49
CZE,2022,491.33
DEU,2000,487.03
DEU,2003,498.89
DEU,2006,504.79
DEU,2009,510.16
DEU,2012,515.11
DEU,2015,508.07
DEU,2018,500.44
DEU,2022,482.33
DNK,2000,497.29
DNK,2003,493.94
DNK,2006,501.13
DNK,2009,499.18
DNK,2012,498.21
DNK,2015,504.28
DNK,2018,501.06
DNK,2022,490.67
DOM,2015,339.03
DOM,2018,334.12
DOM,2022,350.0
DZA,2015,361.74
ESP,2022,477.33
EST,2006,515.57
EST,2009,513.63
EST,2012,526.08
EST,2015,524.29
EST,2018,525.51
EST,2022,515.67
FIN,2000,540.07
FIN,2003,545.33
FIN,2006,552.85
FIN,2009,543.49
FIN,2012,529.4
FIN,2015,522.72
FIN,2018,516.42
FIN,2022,495.0
FRA,2000,507.41
FRA,2003,506.07
FRA,2006,492.82
FRA,2009,496.88
FRA,2012,499.81
FRA,2015,495.73
FRA,2018,493.66
FRA,2022,478.33
GBR,2022,494.33
GEO,2009,375.47
GEO,2015,405.42
GEO,2018,386.67
GEO,2022,382.67
GRC,2000,460.45
GRC,2003,466.07
GRC,2006,464.1
GRC,2009,473.0
GRC,2012,465.63
GRC,2015,458.5
GRC,2018,453.47
GRC,2022,436.33
GTM,2022,363.67
HKG,2000,542.09
HKG,2003,533.14
HKG,2006,541.91
HKG,2009,545.57
HKG,2012,553.59
HKG,2015,532.63
HKG,2018,530.71
HKG,2022,520.0
HRV,2006,479.27
HRV,2009,474.02
HRV,2012,482.35
HRV,2015,475.43
HRV,2018,471.85
HRV,2022,473.67
HUN,2000,488.01
HUN,2003,491.72
HUN,2006,492.41
HUN,2009,495.66
HUN,2012,486.6
HUN,2015,474.37
HUN,2018,479.33
HUN,2022,477.33
IDN,2000,376.98
IDN,2003,378.93
IDN,2006,392.47
IDN,2009,385.19
IDN,2012,384.38
IDN,2015,395.49
IDN,2018,381.9
IDN,2022,369.33
IRL,2000,514.35
IRL,2003,507.9
IRL,2006,509.04
IRL,2009,496.92
IRL,2012,515.56
IRL,2015,509.04
IRL,2018,504.61
IRL,2022,504.0
ISL,2000,505.61
ISL,2003,500.53
ISL,2006,493.59
ISL,2009,500.85
ISL,2012,484.49
ISL,2015,480.93
ISL,2018,481.4
ISL,2022,447.33
ISR,2000,439.77
ISR,2006,444.81
ISR,2009,458.57
ISR,2012,474.12
ISR,2015,471.73
ISR,2018,465.22
ISR,2022,465.67
ITA,2000,474.02
ITA,2003,475.93
ITA,2006,468.54
ITA,2009,485.93
ITA,2012,489.54
ITA,2015,485.01
ITA,2018,476.96
ITA,2022,476.67
JAM,2022,396.67
JOR,2006,402.2
JOR,2009,402.35
JOR,2012,398.0
JOR,2015,399.01
JOR,2018,416.03
JOR,2022,359.33
JPN,2000,543.21
JPN,2003,526.63
JPN,2006,517.48
JPN,2009,529.43
JPN,2012,540.4
JPN,2015,528.93
JPN,2018,519.99
JPN,2022,533.0
KAZ,2009,398.56
KAZ,2012,416.41
KAZ,2015,447.81
KAZ,2018,402.39
KAZ,2022,411.33
KGZ,2006,305.77
KGZ,2009,324.91
KHM,2022,337.33
KOR,2000,541.29
KOR,2003,538.25
KOR,2006,541.88
KOR,2009,541.16
KOR,2012,542.45
KOR,2015,519.12
KOR,2018,519.66
KOR,2022,523.33
LBN,2015,376.43
LBN,2018,376.84
LIE,2000,490.9
LIE,2003,528.68
LIE,2006,519.19
LIE,2009,518.43
LIE,2012,525.06
LTU,2006,481.48
LTU,2009,478.82
LTU,2012,483.94
LTU,2015,475.4
LTU,2018,479.71
LTU,2022,477.0
LUX,2000,443.36
LUX,2003,485.13
LUX,2006,485.23
LUX,2009,481.72
LUX,2012,489.62
LUX,2015,483.34
LUX,2018,476.73
LVA,2000,460.38
LVA,2003,487.69
LVA,2006,485.07
LVA,2009,486.6
LVA,2012,493.82
LVA,2015,486.76
LVA,2018,487.36
LVA,2022,484.0
MAC,2003,516.53
MAC,2006,509.38
MAC,2009,507.66
MAC,2012,522.55
MAC,2015,527.02
MAC,2018,542.12
MAC,2022,531.67
MAR,2018,367.9
MAR,2022,356.33
MDA,2009,399.45
MDA,2015,421.3
MDA,2018,424.36
MDA,2022,414.0
MEX,2000,410.17
MEX,2003,396.61
MEX,2006,408.6
MEX,2009,419.89
MEX,2012,417.25
MEX,2015,415.67
MEX,2018,416.16
MEX,2022,406.67
MKD,2000,384.91
MKD,2015,368.91
MKD,2018,400.05
MKD,2022,376.0
MLT,2009,455.42
MLT,2015,463.36
MLT,2018,458.85
MLT,2022,459.0
MNE,2006,401.02
MNE,2009,403.78
MNE,2012,413.95
MNE,2015,418.71
MNE,2018,421.95
MNE,2022,404.67
MNG,2022,405.0
MUS,2009,414.59
MYS,2009,413.43
MYS,2012,412.74
MYS,2015,439.88
MYS,2018,430.94
MYS,2022,404.33
NLD,2003,525.1
NLD,2006,520.75
NLD,2009,518.82
NLD,2012,518.75
NLD,2015,507.93
NLD,2018,502.47
NLD,2022,480.0
NOR,2000,501.54
NOR,2003,493.04
NOR,2006,486.89
NOR,2009,500.35
NOR,2012,495.94
NOR,2015,504.47
NOR,2018,496.94
NOR,2022,474.33
NZL,2000,531.16
NZL,2003,521.98
NZL,2006,524.47
NZL,2009,524.06
NZL,2012,509.19
NZL,2015,505.93
NZL,2018,502.9
NZL,2022,494.67
OED,2018,488.36
PAN,2009,368.79
PAN,2018,364.81
PAN,2022,379.0
PER,2000,317.48
PER,2009,368.05
PER,2012,375.12
PER,2015,393.6
PER,2018,401.52
PER,2022,402.33
PHL,2018,349.73
PHL,2022,352.67
POL,2000,477.41
POL,2003,494.87
POL,2006,500.29
POL,2009,501.12
POL,2012,520.5
POL,2015,503.87
POL,2018,512.85
POL,2022,492.33
PRT,2000,461.05
PRT,2003,470.44
PRT,2006,470.92
PRT,2009,489.72
PRT,2012,488.03
PRT,2015,496.95
PRT,2018,491.99
PRT,2022,477.67
PRY,2022,359.67
QAT,2006,326.49
QAT,2009,373.09
QAT,2012,382.53
QAT,2015,407.3
QAT,2018,413.48
QAT,2022,421.67
ROU,2000,431.64
ROU,2006,409.7
ROU,2009,426.57
ROU,2012,440.31
ROU,2015,437.49
ROU,2018,427.79
ROU,2022,428.0
RUS,2000,466.69
RUS,2003,466.63
RUS,2006,465.0
RUS,2009,468.5
RUS,2012,481.2
RUS,2015,491.77
RUS,2018,481.34
SAU,2022,387.33
SGP,2022,559.67
SLV,2022,360.33
SRB,2022,442.33
SVK,2022,457.67
SVN,2022,484.67
SWE,2022,487.67
THA,2022,394.0
TUR,2022,461.67
TWN,2022,533.0
UKR,2022,439.67
URY,2022,424.67
USA,2022,489.33
UZB,2022,351.67
VNM,2022,467.67
XKX,2015,362.37
XKX,2018,361.28
